Rule1：当v在[ 0, 4.559],a在[ -1.5, -1.125],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 0.01
Rule2：当v在[ 0, 4.559],a在[ -1.5, -1.125],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.012
Rule3：当v在[ 0, 4.559],a在[ -1.125, -0.75],SOC在[ 0.74642, 0.75982]时，扭矩分配系数取 0.046667
Rule4：当v在[ 0, 4.559],a在[ -1.125, -0.75],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.008
Rule5：当v在[ 0, 4.559],a在[ -0.75, -0.375],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0.08
Rule6：当v在[ 0, 4.559],a在[ -0.75, -0.375],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.0025
Rule7：当v在[ 0, 4.559],a在[ -0.375, 0],SOC在[ 0.74642, 0.75982]时，扭矩分配系数取 0.32
Rule8：当v在[ 0, 4.559],a在[ -0.375, 0],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 1
Rule9：当v在[ 0, 4.559],a在[ -0.375, 0],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 1
Rule10：当v在[ 0, 4.559],a在[ -0.375, 0],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 1
Rule11：当v在[ 0, 4.559],a在[ 0, 0.41667],SOC在[ 0.74642, 0.75982]时，扭矩分配系数取 0.32
Rule12：当v在[ 0, 4.559],a在[ 0, 0.41667],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 1
Rule13：当v在[ 0, 4.559],a在[ 0, 0.41667],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0.99913
Rule14：当v在[ 0, 4.559],a在[ 0, 0.41667],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.99913
Rule15：当v在[ 0, 4.559],a在[ 0.41667, 0.83333],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 0
Rule16：当v在[ 0, 4.559],a在[ 0.41667, 0.83333],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0
Rule17：当v在[ 0, 4.559],a在[ 0.83333, 1.25],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0.09
Rule18：当v在[ 0, 4.559],a在[ 0.83333, 1.25],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.28308
Rule19：当v在[ 0, 4.559],a在[ 1.25, 1.6667],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0.35333
Rule20：当v在[ 0, 4.559],a在[ 1.25, 1.6667],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.36
Rule21：当v在[ 4.559, 9.1181],a在[ -1.5, -1.125],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 0.02
Rule22：当v在[ 4.559, 9.1181],a在[ -1.5, -1.125],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0.017143
Rule23：当v在[ 4.559, 9.1181],a在[ -1.5, -1.125],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0.007
Rule24：当v在[ 4.559, 9.1181],a在[ -1.125, -0.75],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 0.04
Rule25：当v在[ 4.559, 9.1181],a在[ -1.125, -0.75],SOC在[ 0.75982, 0.77321]时，扭矩分配系数取 1
Rule26：当v在[ 4.559, 9.1181],a在[ -1.125, -0.75],SOC在[ 0.77321, 0.78661]时，扭矩分配系数取 0
Rule27：当v在[ 4.559, 9.1181],a在[ -1.125, -0.75],SOC在[ 0.78661, 0.8]时，扭矩分配系数取 0
Rule28：当v在[ 4.559, 9.1181],a在[ -0.75, -0.375],SOC在[ 0.74642, 0.75982]时，扭矩分配系数取 0
